zeros	final_unassigned_poles	mean_zeros_per_pole	max_zeros_per_pole	min_zeros_per_pole	stdev_of_pairing
100	74	0.308411214953271	1.0	0.0	0.4618373495553586
1000	287	0.5952045133991537	1.0	0.0	0.4908524224534604
10000	480	0.9027946537059538	1.0	0.0	0.2962371802220321
100000	0	1.2245328350240257	8412.0	1.0	43.45682064294483
1000000	0	1.555618490407618	166761.0	1.0	304.3922317479004
2000000	0	1.6565625154601287	371597.0	1.0	493.9388357080108
